sn,item_id,link,product_name,category,designer,price,old_price,sellable_online,other_colors,short_description,dimension,depth,height,width
3310,20334314,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334314/,BILLSBRO,TV & media furniture,H Preutz/A Fredriksson,15,No old price,TRUE,No,Handle,NA,,,
3311,20347509,https://www.ikea.com/sa/en/p/eneryda-knob-brass-colour-20347509/,ENERYDA,TV & media furniture,Francis Cayouette,17,No old price,TRUE,Yes,Knob,NA,,,
3312,20347514,https://www.ikea.com/sa/en/p/eneryda-handle-brass-colour-20347514/,ENERYDA,TV & media furniture,Francis Cayouette,35,No old price,TRUE,Yes,Handle,NA,30,,17
3313,20348896,https://www.ikea.com/sa/en/p/oesternaes-leather-handle-tanned-leather-20348896/,ÖSTERNÄS,TV & media furniture,H Preutz/A Fredriksson,49,No old price,TRUE,No,Leather handle,NA,,,25
3314,20351515,https://www.ikea.com/sa/en/p/besta-drawer-frame-grey-stained-walnut-effect-20351515/,BESTÅ,TV & media furniture,IKEA of Sweden,75,No old price,TRUE,Yes,Drawer frame,60x25x40 cm,40,25,60
3315,20390574,https://www.ikea.com/sa/en/p/stallarp-leg-chrome-plated-20390574/,STALLARP,TV & media furniture,Carl Öjerstam,45,No old price,TRUE,No,Leg,NA,4,10,4
3316,20415206,https://www.ikea.com/sa/en/p/havsta-tv-bench-with-plinth-grey-20415206/,HAVSTA,TV & media furniture,IKEA of Sweden,995,No old price,TRUE,Yes,TV bench with plinth,160x62x47 cm,47,62,160
3317,20441578,https://www.ikea.com/sa/en/p/notviken-door-grey-green-20441578/,NOTVIKEN,TV & media furniture,NA,115,No old price,TRUE,Yes,Door,NA,,64,60
3318,20443624,https://www.ikea.com/sa/en/p/besta-top-panel-concrete-effect-light-grey-20443624/,BESTÅ,TV & media furniture,IKEA of Sweden,225,No old price,TRUE,No,Top panel,180x42 cm,42,,180
3319,20450087,https://www.ikea.com/sa/en/p/lack-tv-bench-white-20450087/,LACK,TV & media furniture,IKEA of Sweden,249,No old price,TRUE,Yes,TV bench,NA,55,35,149
3320,29046045,https://www.ikea.com/sa/en/p/liatorp-tv-storage-combination-white-s29046045/,LIATORP,TV & media furniture,Carina Bengs,3635,No old price,TRUE,No,TV storage combination,NA,49,214,331
3321,29203115,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-grey-stained-walnut-effect-lappviken-light-grey-clear-glass-s29203115/,BESTÅ,TV & media furniture,IKEA of Sweden,1824.5,"SR 1,865",TRUE,Yes,TV storage combination/glass doors,180x40x192 cm,40,192,180
3322,29204431,https://www.ikea.com/sa/en/p/besta-eket-cabinet-combination-for-tv-white-s29204431/,BESTÅ / EKET,TV & media furniture,Jon Karlsson/IKEA of Sweden,1469,No old price,TRUE,Yes,Cabinet combination for TV,180x40x170 cm,40,170,180
3323,29278219,https://www.ikea.com/sa/en/p/brimnes-tv-storage-combination-white-s29278219/,BRIMNES,TV & media furniture,K Hagberg/M Hagberg,1385,No old price,TRUE,Yes,TV storage combination,336x41x95 cm,41,95,336
3324,29291391,https://www.ikea.com/sa/en/p/platsa-media-storage-combination-s29291391/,PLATSA,TV & media furniture,Ola Wihlborg/IKEA of Sweden,1838,"SR 2,155",TRUE,No,Media storage combination,300x42x131 cm,42,131,300
3325,29297958,https://www.ikea.com/sa/en/p/besta-tv-bench-with-drawers-black-brown-selsviken-stallarp-high-gloss-dark-red-brown-s29297958/,BESTÅ,TV & media furniture,IKEA of Sweden/Carl Öjerstam,820,No old price,TRUE,Yes,TV bench with drawers,NA,42,48,120
3326,29301743,https://www.ikea.com/sa/en/p/besta-wall-mounted-cabinet-combination-grey-stained-walnut-effect-lappviken-grey-stained-walnut-effect-s29301743/,BESTÅ,TV & media furniture,IKEA of Sweden,795,No old price,TRUE,Yes,Wall-mounted cabinet combination,180x42x64 cm,42,64,180
3327,29302573,https://www.ikea.com/sa/en/p/besta-storage-combination-with-doors-black-brown-riksviken-stubbarp-light-bronze-effect-s29302573/,BESTÅ,TV & media furniture,IKEA of Sweden,1400,No old price,TRUE,Yes,Storage combination with doors,NA,42,74,180
3328,30236153,https://www.ikea.com/sa/en/p/orrnaes-knob-stainless-steel-colour-stainless-steel-30236153/,ORRNÄS,TV & media furniture,IKEA of Sweden,17,No old price,TRUE,No,Knob,17 mm,30,,17
3329,30247378,https://www.ikea.com/sa/en/p/besta-frame-grey-stained-walnut-effect-30247378/,BESTÅ,TV & media furniture,IKEA of Sweden,125,No old price,TRUE,Yes,Frame,60x40x38 cm,40,38,60
3330,30247415,https://www.ikea.com/sa/en/p/besta-frame-grey-stained-walnut-effect-30247415/,BESTÅ,TV & media furniture,IKEA of Sweden,110,No old price,TRUE,Yes,Frame,60x20x64 cm,20,64,60
3331,30269129,https://www.ikea.com/sa/en/p/besta-burs-tv-bench-high-gloss-white-30269129/,BESTÅ BURS,TV & media furniture,Mikael Warnhammar,1195,No old price,TRUE,No,TV bench,180x41x49 cm,41,49,180
3332,30284846,https://www.ikea.com/sa/en/p/besta-suspension-rail-silver-colour-30284846/,BESTÅ,TV & media furniture,IKEA of Sweden,25,No old price,TRUE,No,Suspension rail,60 cm,,,
3333,30285153,https://www.ikea.com/sa/en/p/lappland-tv-storage-unit-black-brown-30285153/,LAPPLAND,TV & media furniture,IKEA of Sweden,695,No old price,TRUE,Yes,TV storage unit,NA,39,147,183
3334,30323598,https://www.ikea.com/sa/en/p/billsbro-handle-stainless-steel-colour-30323598/,BILLSBRO,TV & media furniture,H Preutz/A Fredriksson,49,No old price,TRUE,No,Handle,NA,,,
3335,30342479,https://www.ikea.com/sa/en/p/hackas-handle-anthracite-30342479/,HACKÅS,TV & media furniture,J Löfgren/J Pettersson,32,No old price,TRUE,No,Handle,100 mm,18,,24
3336,30357003,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-30357003/,KALLRÖR,TV & media furniture,IKEA of Sweden,45,No old price,TRUE,No,Handle,597 mm,38,,
3337,30373164,https://www.ikea.com/sa/en/p/klackberg-knob-silver-colour-30373164/,KLACKBERG,TV & media furniture,Charlie Styrbjörn,35,No old price,TRUE,No,Knob,NA,30,,
3338,30425988,https://www.ikea.com/sa/en/p/kallviken-drawer-front-dark-grey-concrete-effect-30425988/,KALLVIKEN,TV & media furniture,IKEA of Sweden,95,No old price,TRUE,No,Drawer front,60x26 cm,,26,60
3339,30441554,https://www.ikea.com/sa/en/p/timmerviken-door-black-30441554/,TIMMERVIKEN,TV & media furniture,NA,115,No old price,TRUE,No,Door,NA,,64,60
3340,30443628,https://www.ikea.com/sa/en/p/glassvik-glass-door-dark-red-brown-clear-glass-30443628/,GLASSVIK,TV & media furniture,IKEA of Sweden,195,No old price,TRUE,Yes,Glass door,60x64 cm,,64,60
3341,39046064,https://www.ikea.com/sa/en/p/liatorp-tv-storage-combination-white-s39046064/,LIATORP,TV & media furniture,Carina Bengs,4030,No old price,TRUE,Yes,TV storage combination,NA,,214,332
3342,39184343,https://www.ikea.com/sa/en/p/brimnes-tv-storage-combination-white-s39184343/,BRIMNES,TV & media furniture,K Hagberg/M Hagberg,870,No old price,TRUE,Yes,TV storage combination,180x41x190 cm,41,190,180
